moisture_pct,texture_code,texture_name,growth_stage,stage_name,threshold,label,label_name
43.0,0,sandy,0,germination,42.0,0,HOLD
46.5,0,sandy,0,germination,42.0,0,HOLD
22.9,0,sandy,0,germination,42.0,2,URGENT
38.3,0,sandy,0,germination,42.0,1,IRRIGATE
50.0,0,sandy,0,germination,42.0,0,HOLD
9.3,0,sandy,0,germination,42.0,2,URGENT
29.2,0,sandy,0,germination,42.0,1,IRRIGATE
9.0,0,sandy,0,germination,42.0,2,URGENT
39.5,0,sandy,0,germination,42.0,1,IRRIGATE
35.5,0,sandy,0,germination,42.0,1,IRRIGATE
47.4,0,sandy,0,germination,42.0,0,HOLD
95.9,0,sandy,0,germination,42.0,0,HOLD
25.1,0,sandy,0,germination,42.0,1,IRRIGATE
25.7,0,sandy,0,germination,42.0,1,IRRIGATE
23.9,0,sandy,0,germination,42.0,1,IRRIGATE
56.0,0,sandy,0,germination,42.0,0,HOLD
27.0,0,sandy,0,germination,42.0,1,IRRIGATE
94.3,0,sandy,0,germination,42.0,0,HOLD
93.2,0,sandy,0,germination,42.0,0,HOLD
3.1,0,sandy,0,germination,42.0,2,URGENT
28.8,0,sandy,0,germination,42.0,1,IRRIGATE
29.0,0,sandy,0,germination,42.0,1,IRRIGATE
21.3,0,sandy,0,germination,42.0,2,URGENT
84.1,0,sandy,0,germination,42.0,0,HOLD
21.7,0,sandy,0,germination,42.0,2,URGENT
84.0,0,sandy,0,germination,42.0,0,HOLD
25.5,0,sandy,0,germination,42.0,1,IRRIGATE
57.2,0,sandy,0,germination,42.0,0,HOLD
29.9,0,sandy,0,germination,42.0,1,IRRIGATE
91.1,0,sandy,0,germination,42.0,0,HOLD
19.2,0,sandy,0,germination,42.0,2,URGENT
84.0,0,sandy,0,germination,42.0,0,HOLD
32.0,0,sandy,0,germination,42.0,0,HOLD
23.6,0,sandy,0,germination,42.0,1,IRRIGATE
79.4,0,sandy,0,germination,42.0,0,HOLD
69.9,0,sandy,0,germination,42.0,0,HOLD
73.5,0,sandy,0,germination,42.0,0,HOLD
75.1,0,sandy,0,germination,42.0,0,HOLD
13.0,0,sandy,0,germination,42.0,2,URGENT
41.6,0,sandy,0,germination,42.0,1,IRRIGATE
10.6,0,sandy,0,germination,42.0,2,URGENT
36.6,0,sandy,0,germination,42.0,0,HOLD
37.4,0,sandy,0,germination,42.0,1,IRRIGATE
27.7,0,sandy,0,germination,42.0,1,IRRIGATE
42.8,0,sandy,0,germination,42.0,0,HOLD
37.8,0,sandy,0,germination,42.0,1,IRRIGATE
95.7,0,sandy,0,germination,42.0,0,HOLD
29.4,0,sandy,0,germination,42.0,1,IRRIGATE
16.7,0,sandy,0,germination,42.0,2,URGENT
8.7,0,sandy,0,germination,42.0,2,URGENT
5.5,0,sandy,0,germination,42.0,2,URGENT
51.8,0,sandy,0,germination,42.0,0,HOLD
51.5,0,sandy,0,germination,42.0,0,HOLD
36.3,0,sandy,0,germination,42.0,1,IRRIGATE
25.0,0,sandy,0,germination,42.0,1,IRRIGATE
27.0,0,sandy,0,germination,42.0,1,IRRIGATE
78.3,0,sandy,0,germination,42.0,0,HOLD
27.8,0,sandy,0,germination,42.0,1,IRRIGATE
18.7,0,sandy,0,germination,42.0,2,URGENT
45.4,0,sandy,0,germination,42.0,0,HOLD
24.3,0,sandy,0,germination,42.0,1,IRRIGATE
36.9,0,sandy,0,germination,42.0,1,IRRIGATE
69.3,0,sandy,0,germination,42.0,0,HOLD
23.6,0,sandy,0,germination,42.0,1,IRRIGATE
57.7,0,sandy,0,germination,42.0,0,HOLD
91.7,0,sandy,0,germination,42.0,0,HOLD
76.2,0,sandy,0,germination,42.0,0,HOLD
23.7,0,sandy,0,germination,42.0,1,IRRIGATE
4.4,0,sandy,0,germination,42.0,2,URGENT
5.9,0,sandy,0,germination,42.0,2,URGENT
76.8,0,sandy,0,germination,42.0,0,HOLD
51.5,0,sandy,0,germination,42.0,0,HOLD
76.6,0,sandy,0,germination,42.0,0,HOLD
71.7,0,sandy,0,germination,42.0,0,HOLD
